[INFO ] 2015-01-07 14:27:38,244 [Thread-0] Logback logging API implementation is configured.
[INFO ] 2015-01-07 14:27:39,749 [repositories/SYSTEM] GET statements
[INFO ] 2015-01-07 14:27:39,860 [repositories/SYSTEM] POST transaction to repository
[INFO ] 2015-01-07 14:27:39,886 [repositories/SYSTEM] GET statements
[INFO ] 2015-01-07 14:27:39,894 [repositories/SYSTEM] POST transaction to repository
[INFO ] 2015-01-07 14:27:39,955 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:39,963 [repositories/Test] GET statements
[INFO ] 2015-01-07 14:27:39,979 [repositories/SYSTEM] POST transaction to repository
[INFO ] 2015-01-07 14:27:43,318 [main] Logback logging API implementation is configured.
[INFO ] 2015-01-07 14:27:44,645 [repositories/SYSTEM] GET statements
[INFO ] 2015-01-07 14:27:44,758 [repositories/SYSTEM] POST transaction to repository
[INFO ] 2015-01-07 14:27:44,795 [repositories/SYSTEM] GET statements
[INFO ] 2015-01-07 14:27:44,811 [repositories/SYSTEM] POST transaction to repository
[INFO ] 2015-01-07 14:27:44,866 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:44,878 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:44,893 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:44,904 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:44,911 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:44,918 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:44,926 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:44,936 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:44,945 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:44,956 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:44,968 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:44,977 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:44,985 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:44,992 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:45,017 [repositories/Test] POST query 649116717
[INFO ] 2015-01-07 14:27:45,197 [repositories/Test] Request for query 649116717 is finished
[INFO ] 2015-01-07 14:27:45,226 [repositories/Test] POST query 649116717
[INFO ] 2015-01-07 14:27:45,230 [repositories/Test] Request for query 649116717 is finished
[INFO ] 2015-01-07 14:27:45,238 [repositories/SYSTEM] POST transaction to repository
[INFO ] 2015-01-07 14:27:46,689 [main] Logback logging API implementation is configured.
[INFO ] 2015-01-07 14:27:47,352 [repositories/SYSTEM] GET statements
[INFO ] 2015-01-07 14:27:47,424 [repositories/SYSTEM] POST transaction to repository
[INFO ] 2015-01-07 14:27:47,448 [repositories/SYSTEM] GET statements
[INFO ] 2015-01-07 14:27:47,466 [repositories/SYSTEM] POST transaction to repository
[INFO ] 2015-01-07 14:27:47,528 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:47,541 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:47,552 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:47,558 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:47,566 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:47,579 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:47,588 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:47,595 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:47,603 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:47,609 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:47,615 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:47,622 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:47,628 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:47,633 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:47,640 [repositories/Test] POST query -2126741139
[INFO ] 2015-01-07 14:27:47,813 [repositories/Test] Request for query -2126741139 is finished
[INFO ] 2015-01-07 14:27:47,817 [repositories/Test] POST query -2126741139
[INFO ] 2015-01-07 14:27:47,824 [repositories/Test] Request for query -2126741139 is finished
[INFO ] 2015-01-07 14:27:47,830 [repositories/SYSTEM] POST transaction to repository
[INFO ] 2015-01-07 14:27:51,196 [main] Logback logging API implementation is configured.
[INFO ] 2015-01-07 14:27:52,592 [repositories/SYSTEM] GET statements
[INFO ] 2015-01-07 14:27:52,764 [repositories/SYSTEM] POST transaction to repository
[INFO ] 2015-01-07 14:27:52,801 [repositories/SYSTEM] GET statements
[INFO ] 2015-01-07 14:27:52,816 [repositories/SYSTEM] POST transaction to repository
[INFO ] 2015-01-07 14:27:52,864 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:52,874 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:52,887 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:52,893 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:52,905 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:52,914 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:52,920 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:52,927 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:52,934 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:52,942 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:52,950 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:52,977 [repositories/Test] POST query 582621463
[INFO ] 2015-01-07 14:27:53,143 [repositories/Test] Request for query 582621463 is finished
[INFO ] 2015-01-07 14:27:53,164 [repositories/SYSTEM] POST transaction to repository
[INFO ] 2015-01-07 14:27:54,412 [main] Logback logging API implementation is configured.
[INFO ] 2015-01-07 14:27:55,094 [repositories/SYSTEM] GET statements
[INFO ] 2015-01-07 14:27:55,149 [repositories/SYSTEM] POST transaction to repository
[INFO ] 2015-01-07 14:27:55,176 [repositories/SYSTEM] GET statements
[INFO ] 2015-01-07 14:27:55,187 [repositories/SYSTEM] POST transaction to repository
[INFO ] 2015-01-07 14:27:55,230 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:55,237 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:55,245 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:55,252 [repositories/Test] POST transaction to repository
[INFO ] 2015-01-07 14:27:55,258 [repositories/Test] POST transaction to repository
